924.42,1652.82,96.05,73.2152,-55.0093,-9.7953,
1028.76,1515.92,-70.61,77.8395,-12.8787,-9.6223,
825.58,1631.53,-84.91,-14.8135,-67.9072,75.2729,
1009.82,1643.54,-2.45,-76.4204,-41.8399,147.8529,
1008.78,1706.05,18.08,82.239,-29.6284,-8.0564,
964.76,1772.51,15,91.2424,-40.0016,-35.8254,
841.4,1617.73,322.49,-92.3031,-70.5838,158.7392,
830.09,1573.23,294.49,80.3113,-58.4726,-19.033,
842.63,1564.55,294.7,60.3856,-58.5945,-2.9508,
917.51,1735.67,424.78,-70.5794,-68.4179,132.4401,
838.34,1684.88,148.8,-95.4281,-22.9022,166.1114,
914.42,1557.94,53.88,33.1831,-61.811,36.702,
1064.52,1555.79,-31.69,-15.2718,-56.6661,84.5442,
1111.97,1622.88,-184.63,10.0155,-72.1118,62.1746,
1165.07,1606.22,90.94,-60.8357,-15.8515,111.7615,
1230.09,1629.47,-105.57,64.2002,-9.2427,-23.981,
1142.42,1730.67,-165.29,56.1254,-3.6463,-35.5456,
1387.24,1724.88,-24.22,52.1931,-48.0122,-23.2767,
967.27,1611.08,-50.31,72.1145,-21.7019,-40.7638,
967.36,1542.14,60.29,51.0631,59.6397,-41.7033,
925.59,1599.39,-147.63,0.5927,-78.9958,62.8231,
973.39,1592.1,20.95,41.0247,-78.7647,15.7338,
863.34,1532.78,143.27,72.803,-75.5948,-13.553,
726.85,1622.69,136.17,119.4409,-70.6326,-69.9889,
839.93,1658.28,334.99,99.3701,-60.9437,-46.4909,
926.8,1749.72,432.63,91.9864,3.0543,-40.3576,
994.73,1721.43,353.27,103.5833,24.5302,-42.1728,
1165.52,1752.42,402.59,95.7394,30.1598,-42.4234,
1107.11,1544.82,127.99,70.1552,55.3836,-60.6329,
1172.96,1598.35,92.55,-77.2021,47.9979,143.4428,
1151.43,1517.21,143.19,-121.9943,67.3236,112.0224,
909.78,1511.29,181.28,72.5551,56.4692,-18.1662,
798.02,1561.74,170.37,84.1043,16.9096,-41.2273,
862.32,1530.34,176.26,22.6003,-67.8074,52.993,
824.12,1590.51,-57.09,-28.5986,-71.5283,99.0792,
861.63,1594.29,-44.49,-10.6119,-64.4963,74.8975,
1046.68,1678.16,-294.82,-52.4168,-59.2285,116.1342,
1131.37,1634.61,-215.87,-64.406,-37.7293,122.6326,
1230.97,1704.49,-121.92,-57.2809,43.6334,143.0688,
1230.97,1704.49,-121.92,-57.2796,43.6334,143.0706,
904.34,1597.88,-45.81,-69.42,-25.4632,137.1198,
798.77,1625.4,14.94,76.1854,-33.5589,-26.7906,
819.23,1540.85,137.57,78.6881,-32.5279,-16.7839,
780.69,1572.26,197.89,-66.6185,-39.7999,127.5305,
685.16,1693.18,159,75.3527,-44.1786,-19.0436,
775.57,1639.59,203.07,87.5734,49.0095,-41.3406,
870.38,1721.33,93.82,83.875,-78.2426,-36.9073,
926.47,1768.11,97.78,74.5594,-48.4251,-17.1066,
923.14,1762.72,172.14,60.6138,18.2674,-42.6138,
985.56,1769.95,164.27,64.8133,11.3215,-40.0984,
1005.68,1568.43,215.35,71.6297,3.6555,-37.2762,
1229.33,1594.81,178.73,71.3143,30.9061,-56.5396,
887.69,1528.98,176.25,8.3853,-65.2948,50.501,
886.88,1529.95,132.13,41.1799,-48.9548,5.0159,
974.85,1512.91,127.15,-50.3233,-66.5225,91.151,
844.87,1619.27,101.33,70.3474,-68.5245,-30.7868,
866.38,1661.31,66.87,77.8729,-58.9165,-28.191,
906.76,1721.79,10.13,78.0388,-55.7639,-28.098,
907.09,1687.4,76.19,2.725,-69.4419,59.6938,
866.09,1610.68,130.04,-63.0492,-35.4528,135.2807,
